path,score
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (10).wav,0.966339
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (11).wav,0.911408
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (12).wav,0.990243
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (13).wav,0.966765
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (14).wav,0.882211
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (15).wav,0.961739
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (16).wav,0.949540
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (17).wav,0.930012
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (18).wav,0.968760
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (19).wav,0.972364
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (2).wav,0.970346
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (20).wav,0.899613
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (21).wav,0.967949
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (22).wav,0.649983
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (23).wav,0.775856
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (24).wav,0.799701
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (25).wav,0.768927
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (26).wav,0.440737
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (27).wav,0.873962
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (28).wav,0.205766
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (29).wav,0.582781
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (3).wav,0.979493
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (30).wav,0.784963
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (31).wav,0.879967
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (32).wav,0.959317
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (33).wav,0.921681
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (34).wav,0.155088
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (35).wav,0.893834
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (36).wav,0.851665
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (37).wav,0.910946
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (38).wav,0.970469
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (39).wav,0.899127
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (4).wav,0.948471
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (40).wav,0.847362
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (41).wav,0.990714
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (42).wav,0.992384
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (43).wav,0.617558
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (44).wav,0.898713
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (45).wav,0.952002
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (46).wav,0.083589
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (47).wav,0.990993
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (48).wav,0.906818
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (49).wav,0.991737
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (5).wav,0.881340
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (50).wav,0.784549
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (51).wav,0.984078
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (52).wav,0.997286
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (53).wav,0.986915
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (54).wav,0.986282
C:\Users\miker\wake_word_project\data\negative\Hey__Magis_wrong_ways_to_say\Recording (55).wav,0.769501
