path,score
C:\Users\miker\wake_word_project\data\negative\three\c2dccf38_nohash_2.wav,0.000885
C:\Users\miker\wake_word_project\data\negative\eight\3565ca83_nohash_1.wav,0.000513
C:\Users\miker\wake_word_project\data\negative\bed\ccfd721c_nohash_0.wav,0.002148
C:\Users\miker\wake_word_project\data\negative\wow\b17f5ba0_nohash_0.wav,0.018856
C:\Users\miker\wake_word_project\data\negative\house\b59fa113_nohash_1.wav,0.018169
C:\Users\miker\wake_word_project\data\negative\go\eb609143_nohash_0.wav,0.000145
C:\Users\miker\wake_word_project\data\negative\go\30060aba_nohash_1.wav,0.000535
C:\Users\miker\wake_word_project\data\negative\five\2bdbe5f7_nohash_1.wav,0.000844
C:\Users\miker\wake_word_project\data\negative\wow\65d844fc_nohash_2.wav,0.010684
C:\Users\miker\wake_word_project\data\negative\down\e9287461_nohash_0.wav,0.000317
C:\Users\miker\wake_word_project\data\negative\two\97101ef3_nohash_0.wav,0.000942
C:\Users\miker\wake_word_project\data\negative\wow\a74f3917_nohash_0.wav,0.000623
C:\Users\miker\wake_word_project\data\negative\sheila\1daa5ada_nohash_1.wav,0.002159
C:\Users\miker\wake_word_project\data\negative\down\64220627_nohash_0.wav,0.000285
C:\Users\miker\wake_word_project\data\negative\stop\14c7b073_nohash_0.wav,0.000367
C:\Users\miker\wake_word_project\data\negative\off\e32ff49d_nohash_1.wav,0.000331
C:\Users\miker\wake_word_project\data\negative\bird\3fb8c268_nohash_1.wav,0.000427
C:\Users\miker\wake_word_project\data\negative\bird\1e02ffc5_nohash_0.wav,0.000455
C:\Users\miker\wake_word_project\data\negative\down\a40c62f1_nohash_3.wav,0.000457
C:\Users\miker\wake_word_project\data\negative\go\09a7aa2a_nohash_0.wav,0.000245
C:\Users\miker\wake_word_project\data\negative\go\834f03fe_nohash_1.wav,0.000322
C:\Users\miker\wake_word_project\data\negative\right\bf5d409d_nohash_0.wav,0.000167
C:\Users\miker\wake_word_project\data\negative\stop\773e26f7_nohash_1.wav,0.001157
C:\Users\miker\wake_word_project\data\negative\bed\e7ea8b76_nohash_1.wav,0.000382
C:\Users\miker\wake_word_project\data\negative\six\171edea9_nohash_1.wav,0.005732
C:\Users\miker\wake_word_project\data\negative\four\578d3efb_nohash_0.wav,0.000671
C:\Users\miker\wake_word_project\data\negative\up\f0659908_nohash_3.wav,0.000249
C:\Users\miker\wake_word_project\data\negative\tree\422d3197_nohash_1.wav,0.000748
C:\Users\miker\wake_word_project\data\negative\up\6a497f80_nohash_1.wav,0.005226
C:\Users\miker\wake_word_project\data\negative\sheila\1890e5c3_nohash_0.wav,0.018188
C:\Users\miker\wake_word_project\data\negative\off\cc3b5b62_nohash_2.wav,0.000908
C:\Users\miker\wake_word_project\data\negative\go\1942abd7_nohash_0.wav,0.000034
C:\Users\miker\wake_word_project\data\negative\on\d0745d72_nohash_0.wav,0.002623
C:\Users\miker\wake_word_project\data\negative\stop\095847e4_nohash_0.wav,0.002186
C:\Users\miker\wake_word_project\data\negative\house\e8d562ca_nohash_0.wav,0.005789
C:\Users\miker\wake_word_project\data\negative\backward\879a2b38_nohash_4.wav,0.008872
C:\Users\miker\wake_word_project\data\negative\yes\6846af18_nohash_0.wav,0.001497
C:\Users\miker\wake_word_project\data\negative\zero\f00180d0_nohash_1.wav,0.004509
C:\Users\miker\wake_word_project\data\negative\five\ceef6d96_nohash_1.wav,0.000156
C:\Users\miker\wake_word_project\data\negative\up\4e99c1b7_nohash_1.wav,0.014576
C:\Users\miker\wake_word_project\data\negative\off\e9bc5cc2_nohash_3.wav,0.004541
C:\Users\miker\wake_word_project\data\negative\nine\1fe4c891_nohash_0.wav,0.000588
