path,score
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000001.wav,0.999995
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000002.wav,0.999979
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000003.wav,0.999996
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000004.wav,0.999950
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000005.wav,0.999951
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000006.wav,0.999988
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000007.wav,0.999977
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000008.wav,0.999990
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000009.wav,0.999993
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000010.wav,0.999993
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000011.wav,0.999959
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000012.wav,0.999996
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000013.wav,0.999983
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000014.wav,0.999997
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000015.wav,0.999840
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000016.wav,0.999994
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000017.wav,0.999960
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000018.wav,0.999919
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000019.wav,0.999971
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_cristina_20260129043143\cristina_phone_mic_quiet_20260129043143_000020.wav,0.999974
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000001.wav,0.999997
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000002.wav,0.999999
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000003.wav,1.000000
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000004.wav,1.000000
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000005.wav,0.999996
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000006.wav,0.999998
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000007.wav,0.999998
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000008.wav,0.999997
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000009.wav,0.999985
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000010.wav,0.999989
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000011.wav,0.999999
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000012.wav,0.999999
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000013.wav,1.000000
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000014.wav,0.999998
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000015.wav,0.999997
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000016.wav,0.999990
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000017.wav,1.000000
C:\Users\miker\wake_word_project\data\positive_new_friends\heymagis_judy_ramos_20260129080202\judy_ramos_phone_mic_quiet_20260129080202_000018.wav,1.000000
