path,score
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_05d8xturmo.wav,0.999991
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_09e17iudaw.wav,0.999977
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_09qzfu6t2q.wav,0.999995
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_0cqrcfim3k.wav,0.999947
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_0elvznwwtn.wav,0.998046
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_0ep1yzztyt.wav,0.998805
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_0fpg1kffvb.wav,0.999228
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_0lbr6are8a.wav,0.999908
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_14hgb9lbyt.wav,0.999881
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_1ip25n0nmm.wav,0.999894
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_1up2z7cfg4.wav,0.999561
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_2686kllsv7.wav,0.999964
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_29prnsek5v.wav,0.999950
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_2c6g7ws08x.wav,0.999995
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_2hw284azhn.wav,0.996247
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_2x7q8fdeuc.wav,0.999948
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_2xtph9tcdn.wav,0.999676
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_31pizchs0g.wav,0.999925
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_3vaemsk84x.wav,0.999694
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_45gs93aygb.wav,0.997241
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_45lsm8cs75.wav,0.999929
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_4qoimao43r.wav,0.999941
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_4tp1zyqwc3.wav,0.999023
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_4vqlx2b6nc.wav,0.999426
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_5b5goa9aj6.wav,0.999694
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_5jlvhzoman.wav,0.999755
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_5ohtvcggir.wav,0.999928
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_690hdy6a9o.wav,0.984134
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_6ductuwnfh.wav,0.997700
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_6fsvvv0aku.wav,0.999859
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_6oykza6wlh.wav,0.999966
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_7fd6ad5p3v.wav,0.999679
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_7llvj4ru33.wav,0.999973
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_7s8dzg6utt.wav,0.999911
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_82v0c5ifs6.wav,0.994310
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_89vkqi96sf.wav,0.999326
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_8cyw8828n0.wav,0.999768
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_8krujpv0am.wav,0.999958
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_8o1iod0msu.wav,0.999684
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_919geqloka.wav,0.999499
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_9rs1l079gd.wav,0.999989
C:\Users\miker\wake_word_project\data\positive_trimmed_1p5_A\hey_magis_9vqenosfoc.wav,0.999884
